id,tm_r_sc,pos1_r_sc,pos2_r_sc,pos3_r_sc,pos4_r_sc,pos5_r_sc,tm_d_sc,pos1_d_sc,pos2_d_sc,pos3_d_sc,pos4_d_sc,pos5_d_sc,a_result
195,1.83720930232558,1.83720930232558,2.83720930232558,1.63720930232558,2.83720930232558,1.33720930232558,2.0,1.0,1.0,1.66666666666667,1.0,2.0,1
196,1.83720930232558,1.83720930232558,2.39276485788114,1.69435215946844,1.50387596899225,2.43720930232558,2.0,3.0,3.0,3.0,3.0,1.85714285714286,0
197,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.66666666666667,2.33333333333333,3.0,2.27272727272727,2.0,0
198,1.83720930232558,2.17054263565891,2.39276485788114,1.83720930232558,2.83720930232558,2.17054263565891,2.0,1.0,2.0,1.0,1.0,1.85714285714286,1
199,2.42857142857143,3.42857142857143,3.42857142857143,3.02857142857143,2.92857142857143,3.42857142857143,1.83720930232558,0.837209302325581,0.837209302325581,1.69435215946844,1.83720930232558,1.33720930232558,1
200,2.0,2.0,2.33333333333333,2.33333333333333,2.11111111111111,3.0,2.0,2.0,2.0,2.2,1.66666666666667,1.0,1
201,1.83720930232558,1.83720930232558,2.39276485788114,2.83720930232558,2.03720930232558,2.43720930232558,2.42857142857143,1.42857142857143,1.76190476190476,3.02857142857143,1.42857142857143,2.42857142857143,1
202,2.08474576271186,1.4180790960452,1.08474576271186,1.08474576271186,1.08474576271186,1.08474576271186,1.94117647058824,2.94117647058824,2.94117647058824,2.27450980392157,2.94117647058824,2.94117647058824,0
203,2.08474576271186,1.4180790960452,1.65617433414044,1.08474576271186,2.08474576271186,1.08474576271186,1.94117647058824,2.94117647058824,1.74117647058824,2.94117647058824,2.94117647058824,2.27450980392157,0
204,1.83720930232558,2.17054263565891,0.837209302325581,0.837209302325581,2.03720930232558,2.43720930232558,2.42857142857143,3.42857142857143,3.42857142857143,3.02857142857143,3.42857142857143,3.42857142857143,0
205,2.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,2.08474576271186,1.08474576271186,2.08474576271186,2.4180790960452,2.4180790960452,2.08474576271186,1
